Sports,Discipline,"""Anabolic Agents S1.""","""Peptide Hormones, Growth Factors and Related Substances S2.""","""Beta‐2 Agonists S3.""","""Hormone and Metabolic Modulators S4.""","""Diuretics and Other Masking Agents S5.""","""Stimulants S6.""","""Narcotics S7.""","""Cannabinoids S8.""","""Glucocortico‐ steroids S9.""","""Alcohol P1.""","""Beta‐ Blockers P2.""","""Enhancement of Oxygen Transfer M1.""","""Chemical and Physical Manipulation M2.""",Sub total
Triathlon,Para-Triathlon**,2,-,1,-,1,-,-,-,-,-,-,-,-,-
Arm Wrestling,-,13,-,-,5,6,-,-,-,2,-,-,-,-,-
Bowls,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
Karate,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kettlebell Lifting,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Kurash,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Rugby League,-,5,-,5,-,-,8,-,1,-,-,-,-,-,-
Taekwondo,ITF Taekwondo,1,-,-,-,1,-,-,-,-,-,-,-,-,-
Triathlon,Ironman,5,1,1,-,1,1,1,-,-,-,-,-,-,-
American Football,University,6,-,-,3,-,9,-,3,-,-,-,-,-,-
,University Swimming Sprint 100m or less,-,-,-,-,-,3,-,-,-,-,-,-,-,3
Aquatics,Military Swimming Middle Distance 200-400m,1,-,-,-,-,1,-,-,-,-,-,-,-,2
,Military Swimming Sprint 100m or less,2,-,-,-,-,-,-,-,-,-,-,-,-,2
Athletics,University Jumps,-,-,-,-,-,-,-,-,2,-,-,-,-,-
Australian Rules Football,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Baseball,Professional Baseball,6,-,-,-,-,6,1,-,-,-,-,-,-,13
,University,1,-,-,-,-,-,-,-,-,-,-,-,-,1
,University,-,-,-,-,-,-,-,1,-,-,-,-,-,1
Basketball,,,,,,,,,,,,,,,
,Professional Basketball,-,-,-,-,1,-,-,-,-,-,-,-,-,1
,Physique Sports,45,-,-,3,10,2,2,-,-,-,-,-,-,62
,WNBF Natural Bodybuilding,6,-,-,2,2,4,-,1,-,-,-,-,-,15
Bodybuilding,INBA Natural Bodybuilding,3,1,2,2,2,2,-,-,-,-,-,-,-,12
,CrossFit,1,-,-,2,1,3,-,-,-,-,-,-,-,7
,FISAF Fitness,6,-,-,-,1,-,-,-,-,-,-,-,-,7
,Professional Boxing,3,-,-,1,-,2,1,-,-,-,-,-,-,7
,Boxing,3,-,-,1,3,-,-,-,-,-,-,-,-,7
,WBA Professional Boxing,4,-,-,1,1,-,-,1,-,-,-,-,-,7
Boxing,,,,,,,,,,,,,,,
,WBF Professional Boxing,2,-,-,1,1,-,-,1,-,-,-,-,-,5
,WBO Professional Boxing,1,-,-,1,-,2,-,-,-,-,-,-,-,4
,WBC Professional Boxing,-,-,-,-,1,-,-,-,1,-,-,-,-,2
Broomball,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
Cycling,University Mountain Bike,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,University,-,-,1,-,-,-,-,-,-,-,-,-,-,1
Football,,,,,,,,,,,,,,,
,College,-,-,-,-,-,-,-,1,-,-,-,-,-,1
Golf,Professional Golf,-,-,-,-,-,2,-,-,-,-,-,-,-,-
,University Rhythmic,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Gymnastics,,,,,,,,,,,,,,,
,University Artistic,-,-,-,-,-,1,-,-,-,-,-,-,-,1
Heavy Athletics,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Horse Racing,-,-,-,-,-,2,6,1,-,-,-,-,-,-,-
Ice Hockey,University,-,-,-,-,-,1,-,1,-,-,-,-,-,-
Jet-Ski,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-
Jiu-Jitsu,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Kabaddi,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kempo,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-
Kickboxing,IKF-Kickboxing,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kung Fu,-,3,-,-,2,4,-,-,-,-,-,-,-,-,-
Longue Paume,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-
Mixed Martial Arts,-,27,2,3,19,22,15,-,3,-,-,-,-,-,-
Multifunctional Training,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Padel,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Pencak Silat,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
Power Press,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Powerlifting,WDFPF Powerlifting,7,-,-,2,2,4,1,1,-,-,-,-,-,17
,WPA Powerlifting,-,-,-,-,1,-,-,-,-,-,-,-,-,1
School Sports,Athletics Sprint 400m or less,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Strongman,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Table Tennis,University,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Taekwondo,University Sparring,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Traditional Archery,Traditional Archery,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Ultimate Fighting,Ultimate Fighting,-,-,-,1,1,1,-,-,-,-,-,-,-,-
VA'A,Outrigger (Sprint),1,-,-,-,-,-,-,-,2,-,-,-,-,-
,Military Volleyball,-,-,-,-,-,-,-,-,2,-,-,-,-,2
Volleyball,,,,,,,,,,,,,,,
,University Volleyball,-,-,-,1,-,-,-,-,-,-,-,-,-,1
